-0.31099,53.7802
-3.11255,55.8706
-0.088533,51.3806
-0.326795,51.4476
-3.94653,51.6594
-0.447304,50.8153
-0.416988,51.4987
-1.53935,53.8108
-0.275438,53.7478
-2.08991,52.9739
-4.28391,55.8863
-3.94304,51.6317
-1.34684,53.4937
-2.07919,52.482
0.278042,51.1482
-2.98169,51.348
-2.16283,52.5623
-0.189638,51.535
-1.16379,52.6721
-3.88619,51.6198
-1.93748,52.5172
-0.32634,51.578
-1.18939,53.0464
-0.403184,51.6297
-2.17313,53.5239
-0.425243,51.8809
-1.54619,54.9408
-2.61786,53.6521
-1.60199,54.9812
-0.105094,51.5223
-1.59985,52.2746
-3.53969,50.4902
-1.55228,53.8087
0.084291,51.6036
-0.062879,51.3858
0.87316,51.143
-3.27546,51.404
-3.32742,51.5945
-0.23427,51.5926
-1.34688,52.0652
-2.0196,52.5826
-0.158879,51.5219
-2.01516,52.5539
-3.13495,51.5185
-2.1883,53.9167
-0.365483,51.4443
-1.08663,50.8028
-4.13153,55.8661
-3.20231,51.482
-2.24501,53.4592
-0.197442,51.4579
-0.440066,51.4219
-2.09298,53.4977
0.00857,51.4911
-4.16323,51.6827
-0.361952,50.8123
-1.9013,52.4864
-4.34018,55.8567
-0.029734,51.4046
-3.04608,53.421
0.133924,51.7656
-4.16453,55.7812
-4.42302,55.8321
-1.63055,53.6806
-2.52292,53.5844
-2.48383,53.7463
-0.257853,51.6253
-1.27318,52.9336
-1.48779,53.3802
0.065491,51.6475
-0.053012,51.4015
-1.80106,53.642
-3.17575,51.5022
-0.025881,51.504
-3.19222,51.6582
-0.489183,51.3543
0.275877,50.804
-2.5438,51.4262
-2.11787,52.519
0.182394,51.4629
-1.86852,52.9076
-1.95989,52.5097
-4.221,51.0126
-2.94807,53.412
-3.0382,53.4123
0.726034,52.2479
-1.87671,52.4313
-1.54509,53.7995
-2.15866,53.4054
-0.140313,51.5176
-0.456193,51.4726
-2.67279,53.5957
-3.57841,54.5677
-0.156888,51.5105
-2.13517,52.5851
-4.16543,55.7831
-3.79902,51.6036
-2.09202,57.1482
0.692144,51.7423
-4.21669,55.8545
-0.082947,51.5176
1.18465,52.035
-1.38651,53.4295
-3.18646,51.465
-1.86709,50.7219
-4.15102,50.5432
-0.29799,51.6028
-0.592564,51.5142
0.508879,51.3832
-1.7445,53.6405
0.256364,50.8615
-1.10724,53.3251
-1.651,53.8079
-0.565916,51.4035
-1.43828,52.43
-2.04649,52.4759
0.139517,51.8073
-0.368682,51.2816
-0.355163,51.6391
-1.39933,52.5356
-1.63183,52.7999
-1.69279,53.8038
0.103881,51.4305
-0.248709,51.5137
-1.86308,52.4657
-0.058668,51.5089
-0.047904,51.5113
-4.27489,55.8468
-3.09394,51.0323
-0.591412,51.2474
-2.10085,52.555
-1.78643,51.0748
-0.336869,53.7437
-1.97842,52.5792
-0.106264,51.3897
-4.51617,55.8353
-1.52917,52.2777
-2.19445,53.0718
-2.59209,51.4342
-1.322,50.6989
-1.45975,53.3862
-0.153087,51.5439
-0.73779,51.5159
-3.06922,55.8932
0.282084,50.7974
-1.7208,53.7928
-1.76345,53.6598
-0.020445,51.4565
1.73032,52.6198
-0.296462,51.4119
-1.43322,52.9373
-1.49224,53.385
-1.93094,52.6493
-1.77525,51.583
-0.177747,51.4356
-0.795796,51.3382
-0.261092,51.5518
-1.51675,52.4761
-0.276841,51.383
-3.2176,51.7959
1.38756,51.2138
-0.835514,51.8256
-0.467565,51.7557
-1.61654,54.9953
-3.18853,55.9566
-0.162399,50.8295
-0.410695,51.8815
-0.145306,50.9669
-1.82611,52.469
-2.08362,52.4914
-0.017458,51.5785
-0.118809,51.3642
-0.348592,51.4537
-3.58235,51.5064
-2.52923,51.4478
-2.6992,53.7582
-4.29137,55.8283
1.38402,51.382
-1.68468,54.997
-0.092226,51.3748
-0.03438,51.4605
-0.458273,51.9135
-1.20002,51.7188
-3.60371,55.0688
-0.303245,52.5403
-0.328159,53.8027
-1.36501,50.9844
-0.429825,51.5024
-0.154509,50.8532
0.013152,51.448
-0.738508,52.4025
-0.189102,51.4249
-0.360859,51.7295
-2.12897,52.4869
1.17871,51.0865
-0.054914,51.4786
0.010243,51.5128
0.279186,51.1249
-0.133187,51.4592
-0.149094,51.5143
-1.11761,52.6302
-0.779591,52.0207
-0.609275,51.505
-0.692977,50.7969
-1.89392,52.4324
-4.61607,55.4526
-1.14633,50.7194
-0.22707,51.6107
0.05302,51.4801
-0.065052,51.5691
0.366575,51.4302
-3.96265,51.6141
-0.055455,51.5438
-4.07852,51.072
-0.262656,51.3477
-1.07837,50.8188
-0.118277,51.5557
-1.95949,52.3053
-0.666982,51.9161
